,datetime,open,high,low,close,volume
0,2021-06-30 15:16:00,18.988,19.007,18.965,18.976,7052.18
1,2021-06-30 15:17:00,18.976,18.997,18.95,18.971,8070.06
2,2021-06-30 15:18:00,18.967,18.982,18.948,18.961,8597.97
3,2021-06-30 15:19:00,18.961,18.97,18.908,18.918,7450.37
4,2021-06-30 15:20:00,18.915,18.93,18.905,18.915,2752.16
5,2021-06-30 15:21:00,18.913,18.929,18.876,18.88,11067.23
6,2021-06-30 15:22:00,18.88,18.91,18.872,18.905,3985.37
7,2021-06-30 15:23:00,18.904,18.911,18.874,18.887,13955.02
8,2021-06-30 15:24:00,18.888,18.915,18.869,18.879,9629.07
9,2021-06-30 15:25:00,18.882,18.916,18.877,18.899,8699.18
10,2021-06-30 15:26:00,18.899,18.942,18.899,18.936,19093.14
11,2021-06-30 15:27:00,18.936,18.963,18.909,18.945,7420.34
12,2021-06-30 15:28:00,18.945,18.956,18.934,18.952,6164.98
13,2021-06-30 15:29:00,18.954,18.974,18.937,18.973,8190.22
14,2021-06-30 15:30:00,18.969,18.975,18.916,18.916,6484.84
